tag,type,design_barg,set_barg,thickness_mm,inspected,sheet
NV-115,needle_valve,36.0,,8.8,2026-08-12,complex_01.png
TB-116,turbine,7.4,,9.5,2026-02-02,complex_01.png
FIT-117,pipe_fitting,12.4,,17.7,2026-04-03,complex_01.png
BF-118,butterfly_valve,18.7,,16.4,2026-08-20,complex_01.png
T-119,tower,14.8,,15.3,2026-01-04,complex_01.png
DV-120,diaphragm_valve,27.7,,14.5,2026-06-07,complex_01.png
FV-121,control_valve,7.3,,10.1,2026-01-07,complex_01.png
K-122,compressor,40.0,,6.5,2026-04-27,complex_01.png
AV-123,angle_valve,6.4,,9.9,2026-06-06,complex_01.png
DV-124,diaphragm_valve,27.1,,6.9,2026-01-26,complex_01.png
R-125,reactor,22.9,,11.8,2026-07-04,complex_01.png
LT-126,level_instrument,33.1,,14.0,2026-03-21,complex_01.png
AV-127,angle_valve,24.2,,13.8,2026-07-23,complex_01.png
R-128,reactor,15.2,,17.9,2026-05-14,complex_01.png
BF-129,butterfly_valve,38.4,,9.7,2026-06-14,complex_01.png
PSV-130,relief_valve,20.2,19.4,18.0,2026-06-21,complex_01.png
K-131,compressor,12.7,,14.7,2026-04-01,complex_01.png
LT-132,level_instrument,20.8,,7.9,2026-02-27,complex_01.png
GV-133,globe_valve,9.1,,12.9,2026-06-15,complex_01.png
TK-134,vessel,32.3,,7.6,2026-01-18,complex_01.png
FT-135,flow_instrument,10.8,,15.7,2026-07-03,complex_01.png
FV-136,control_valve,25.5,,17.1,2026-09-06,complex_01.png
TK-137,vessel,11.0,,9.4,2026-09-06,complex_01.png
PT-138,pressure_instrument,37.5,,7.3,2026-08-25,complex_01.png
PSV-139,relief_valve,33.4,32.6,8.4,2026-03-27,complex_01.png
T-140,tower,38.1,,17.7,2026-08-11,complex_01.png
FT-141,flow_instrument,7.8,,17.1,2026-07-03,complex_01.png
PLV-142,plug_valve,36.7,,13.4,2026-03-21,complex_01.png
P-101,pump,32.7,,8.7,2026-07-20,complex_02.png
FT-102,flow_instrument,34.8,,16.0,2026-03-19,complex_02.png
FV-103,control_valve,13.4,,10.8,2026-09-06,complex_02.png
TK-104,vessel,19.0,,7.5,2026-04-24,complex_02.png
DV-105,diaphragm_valve,33.7,,8.3,2026-09-27,complex_02.png
DV-106,diaphragm_valve,31.8,,6.5,2026-06-04,complex_02.png
P-107,pump,19.3,,11.5,2026-05-21,complex_02.png
LT-108,level_instrument,20.3,,13.0,2026-07-13,complex_02.png
PSV-109,relief_valve,28.4,25.8,11.3,2026-01-01,complex_02.png
K-110,compressor,27.0,,11.9,2026-04-15,complex_02.png
NV-111,needle_valve,32.0,,15.4,2026-08-27,complex_02.png
FV-112,control_valve,12.1,,11.7,2026-02-03,complex_02.png
CN-113,conveyor,10.4,,11.2,2026-02-26,complex_02.png
FV-114,control_valve,21.0,,12.1,2026-01-02,complex_02.png
DV-115,diaphragm_valve,27.6,,7.0,2026-06-25,complex_02.png
K-116,compressor,30.5,,7.0,2026-09-13,complex_02.png
NV-117,needle_valve,28.2,,15.4,2026-01-28,complex_02.png
AV-118,angle_valve,8.3,,13.4,2026-02-07,complex_02.png
CN-119,conveyor,10.5,,16.6,2026-05-26,complex_02.png
BV-120,ball_valve,37.1,,8.0,2026-04-03,complex_02.png
PSV-121,relief_valve,34.3,31.9,9.0,2026-06-20,complex_02.png
FN-122,fan,15.3,,15.8,2026-03-09,complex_02.png
LT-123,level_instrument,23.1,,17.0,2026-04-19,complex_02.png
FIT-124,pipe_fitting,14.9,,12.1,2026-06-12,complex_02.png
P-125,pump,7.3,,8.2,2026-03-21,complex_02.png
NV-126,needle_valve,37.8,,14.2,2026-07-06,complex_02.png
HV-127,gate_valve,32.9,,9.2,2026-09-02,complex_02.png
K-128,compressor,27.6,,10.3,2026-08-18,complex_02.png
BF-129,butterfly_valve,23.7,,14.3,2026-02-09,complex_02.png
FIT-130,pipe_fitting,39.8,,13.6,2026-07-24,complex_02.png
P-131,pump,33.1,,9.2,2026-06-19,complex_02.png
NV-132,needle_valve,11.0,,10.0,2026-02-15,complex_02.png
PSV-133,relief_valve,13.8,12.8,17.5,2026-05-27,complex_02.png
TB-134,turbine,23.5,,9.7,2026-06-24,complex_02.png
PT-135,pressure_instrument,6.1,,6.4,2026-03-10,complex_02.png
NV-136,needle_valve,26.9,,11.2,2026-09-12,complex_02.png
F-137,fired_heater,36.4,,7.6,2026-04-20,complex_02.png
LT-138,level_instrument,28.2,,6.3,2026-01-19,complex_02.png
FIT-139,pipe_fitting,18.1,,7.3,2026-06-18,complex_02.png
TB-140,turbine,13.6,,13.0,2026-03-07,complex_02.png
FV-141,control_valve,18.5,,15.9,2026-03-05,complex_02.png
DV-142,diaphragm_valve,6.5,,15.6,2026-03-15,complex_02.png
CN-101,conveyor,9.3,,13.7,2026-05-13,complex_03.png
NV-102,needle_valve,33.6,,17.6,2026-01-21,complex_03.png
FIT-103,pipe_fitting,33.9,,16.7,2026-08-20,complex_03.png
K-104,compressor,37.9,,14.8,2026-04-06,complex_03.png
PLV-105,plug_valve,36.7,,6.5,2026-09-01,complex_03.png
AV-106,angle_valve,19.8,,8.9,2026-01-25,complex_03.png
T-107,tower,9.6,,13.4,2026-04-05,complex_03.png
HV-108,gate_valve,20.0,,12.2,2026-09-21,complex_03.png
FIT-109,pipe_fitting,27.8,,15.8,2026-03-17,complex_03.png
TK-110,vessel,16.5,,9.6,2026-01-24,complex_03.png
PSV-111,relief_valve,32.6,30.7,6.1,2026-07-24,complex_03.png
FV-112,control_valve,37.0,,7.0,2026-08-06,complex_03.png
R-113,reactor,13.7,,7.3,2026-04-21,complex_03.png
PT-114,pressure_instrument,7.3,,10.0,2026-05-23,complex_03.png
FIT-115,pipe_fitting,7.8,,13.6,2026-07-22,complex_03.png
TK-116,vessel,32.8,,12.3,2026-05-10,complex_03.png
FT-117,flow_instrument,27.8,,17.6,2026-04-03,complex_03.png
PSV-118,relief_valve,35.9,30.6,9.1,2026-04-27,complex_03.png
T-119,tower,31.3,,17.3,2026-06-07,complex_03.png
NV-120,needle_valve,35.9,,9.9,2026-04-13,complex_03.png
BF-121,butterfly_valve,36.9,,13.6,2026-09-16,complex_03.png
P-122,pump,22.1,,12.4,2026-01-28,complex_03.png
LT-123,level_instrument,6.9,,17.5,2026-04-19,complex_03.png
PLV-124,plug_valve,36.1,,15.5,2026-07-20,complex_03.png
R-125,reactor,25.9,,12.8,2026-03-05,complex_03.png
PT-126,pressure_instrument,7.1,,7.3,2026-03-12,complex_03.png
BV-127,ball_valve,39.2,,14.4,2026-01-02,complex_03.png
F-128,fired_heater,10.7,,13.7,2026-01-23,complex_03.png
LT-129,level_instrument,8.3,,6.6,2026-06-07,complex_03.png
HV-130,gate_valve,33.8,,15.8,2026-02-28,complex_03.png
K-131,compressor,31.7,,14.5,2026-07-04,complex_03.png
BF-132,butterfly_valve,14.4,,8.4,2026-01-02,complex_03.png
AV-133,angle_valve,38.3,,16.9,2026-02-27,complex_03.png
TB-134,turbine,31.5,,13.6,2026-08-04,complex_03.png
AV-135,angle_valve,10.5,,15.5,2026-04-10,complex_03.png
GV-136,globe_valve,16.9,,11.1,2026-01-12,complex_03.png
F-137,fired_heater,14.7,,9.4,2026-06-11,complex_03.png
GV-138,globe_valve,32.2,,13.2,2026-08-28,complex_03.png
GV-139,globe_valve,15.8,,14.9,2026-07-01,complex_03.png
K-140,compressor,20.8,,15.3,2026-06-16,complex_03.png
FN-101,fan,30.0,,12.5,2026-04-23,complex_04.png
HV-102,gate_valve,35.3,,7.1,2026-05-06,complex_04.png
BF-103,butterfly_valve,20.8,,12.3,2026-05-25,complex_04.png
R-104,reactor,31.5,,6.6,2026-06-16,complex_04.png
FIT-105,pipe_fitting,9.3,,14.3,2026-03-16,complex_04.png
CV-106,check_valve,26.1,,17.5,2026-09-09,complex_04.png
FN-107,fan,25.7,,7.9,2026-04-23,complex_04.png
BF-108,butterfly_valve,13.9,,8.0,2026-02-16,complex_04.png
HV-109,gate_valve,32.8,,14.4,2026-02-21,complex_04.png
K-110,compressor,17.1,,7.1,2026-07-24,complex_04.png
FT-111,flow_instrument,8.9,,16.7,2026-01-12,complex_04.png
PLV-112,plug_valve,13.0,,9.2,2026-09-17,complex_04.png
TB-113,turbine,11.8,,17.8,2026-04-15,complex_04.png
FIT-114,pipe_fitting,10.3,,13.1,2026-01-12,complex_04.png
PLV-115,plug_valve,25.8,,12.3,2026-08-22,complex_04.png
CN-116,conveyor,24.8,,9.9,2026-08-15,complex_04.png
PT-117,pressure_instrument,29.4,,9.1,2026-04-05,complex_04.png
HV-118,gate_valve,17.4,,13.7,2026-04-17,complex_04.png
P-119,pump,12.5,,9.6,2026-03-24,complex_04.png
NV-120,needle_valve,11.3,,9.0,2026-06-20,complex_04.png
BF-121,butterfly_valve,23.8,,7.9,2026-06-07,complex_04.png
P-122,pump,14.8,,17.5,2026-02-06,complex_04.png
CV-123,check_valve,38.7,,7.2,2026-07-05,complex_04.png
BV-124,ball_valve,39.5,,15.5,2026-05-14,complex_04.png
TB-125,turbine,15.3,,7.3,2026-02-09,complex_04.png
PT-126,pressure_instrument,13.0,,10.7,2026-01-01,complex_04.png
FV-127,control_valve,19.6,,15.5,2026-04-17,complex_04.png
K-128,compressor,39.3,,9.6,2026-01-05,complex_04.png
LT-129,level_instrument,14.7,,14.9,2026-01-24,complex_04.png
BV-130,ball_valve,14.2,,16.2,2026-07-28,complex_04.png
TB-131,turbine,13.8,,14.7,2026-04-22,complex_04.png
GV-132,globe_valve,12.2,,7.5,2026-07-11,complex_04.png
PSV-133,relief_valve,14.8,13.9,16.7,2026-04-26,complex_04.png
TK-134,vessel,19.6,,14.6,2026-03-09,complex_04.png
LT-135,level_instrument,34.9,,11.8,2026-01-20,complex_04.png
CV-136,check_valve,35.2,,12.2,2026-03-21,complex_04.png
P-137,pump,17.2,,6.1,2026-08-04,complex_04.png
LT-138,level_instrument,7.3,,12.5,2026-03-23,complex_04.png
BF-139,butterfly_valve,32.6,,17.3,2026-09-12,complex_04.png
P-140,pump,9.4,,12.9,2026-09-07,complex_04.png
CV-141,check_valve,30.4,,12.1,2026-06-17,complex_04.png
DV-142,diaphragm_valve,17.7,,14.9,2026-08-07,complex_04.png
P-143,pump,39.7,,8.2,2026-09-25,complex_04.png
PT-144,pressure_instrument,37.7,,14.7,2026-06-21,complex_04.png
BF-145,butterfly_valve,7.9,,9.3,2026-07-02,complex_04.png
CN-146,conveyor,6.5,,11.0,2026-07-21,complex_04.png
CN-101,conveyor,29.7,,10.2,2026-05-04,complex_05.png
FT-102,flow_instrument,13.6,,14.9,2026-09-08,complex_05.png
DV-103,diaphragm_valve,39.8,,17.5,2026-08-07,complex_05.png
CN-104,conveyor,11.6,,17.2,2026-02-26,complex_05.png
GV-105,globe_valve,33.1,,8.3,2026-09-24,complex_05.png
FV-106,control_valve,13.7,,17.6,2026-06-22,complex_05.png
K-107,compressor,27.7,,15.8,2026-07-15,complex_05.png
FV-108,control_valve,39.9,,15.1,2026-03-25,complex_05.png
